id,date_created,title_en,category_en,subcategory_en,title_bm,category_bm,subcategory_bm,source,frequency,geography,demography,dataset_begin,dataset_end
lfs_qtr,2024-01-29,Quarterly Principal Labour Force Statistics,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Suku Tahunan Utama,Pasaran Buruh,Survei Tenaga Buruh,DOSM,QUARTERLY,NATIONAL,,2010,2024
lfs_month_sa,2024-01-29,"Monthly Principal Labour Force Statistics, Seasonally Adjusted",Labour Markets,Labour Force Survey,"Statistik Tenaga Buruh Bulanan Utama, Terlaras secara Bermusim",Pasaran Buruh,Survei Tenaga Buruh,DOSM,MONTHLY,NATIONAL,,2010,2023
lfs_month_duration,2024-01-29,Monthly Unemployment by Duration,Labour Markets,Labour Force Survey,Pengangguran Bulanan mengikut Tempoh,Pasaran Buruh,Survei Tenaga Buruh,DOSM,MONTHLY,NATIONAL,,2016,2023
lfs_month,2024-01-29,Monthly Principal Labour Force Statistics,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Bulanan Utama,Pasaran Buruh,Survei Tenaga Buruh,DOSM,MONTHLY,NATIONAL,,2010,2023
lfs_district,2024-01-29,Annual Principal Labour Force Statistics by District,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Tahunan Utama mengikut Daerah,Pasaran Buruh,Survei Tenaga Buruh,DOSM,YEARLY,"STATE, DISTRICT",,2018,2024
lfs_year_sex,2024-01-29,Annual Principal Labour Force Statistics by Sex,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Tahunan Utama mengikut Jantina,Pasaran Buruh,Survei Tenaga Buruh,DOSM,YEARLY,NATIONAL,,1982,2022
lfs_state_sex,2024-01-29,Annual Principal Labour Force Statistics by State & Sex,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Tahunan Utama mengikut Negeri & Jantina,Pasaran Buruh,Survei Tenaga Buruh,DOSM,YEARLY,STATE,,1982,2022
lfs_qtr_state,2024-01-29,Quarterly Principal Labour Force Statistics by State,Labour Markets,Labour Force Survey,Statistik Tenaga Buruh Suku Tahunan Utama mengikut Negeri,Pasaran Buruh,Survei Tenaga Buruh,DOSM,QUARTERLY,"NATIONAL, STATE",,2017,2024
lfs_qtr_tru_age,2024-01-29,Quarterly Time-Related Underemployment by Age,Labour Markets,Labour Force Survey,Guna Tenaga Tidak Penuh Berkaitan Masa Suku Tahunan mengikut Umur,Pasaran Buruh,Survei Tenaga Buruh,DOSM,QUARTERLY,NATIONAL,,2017,2024
lfs_qtr_sru_age,2024-01-29,Quarterly Skills-Related Underemployment by Age,Labour Markets,Labour Force Survey,Guna Tenaga Tidak Penuh Berkaitan Kemahiran Suku Tahunan mengikut Umur,Pasaran Buruh,Survei Tenaga Buruh,DOSM,QUARTERLY,NATIONAL,,2017,2024
lfs_qtr_sru_sex,2024-01-29,Quarterly Skills-Related Underemployment by Sex,Labour Markets,Labour Force Survey,Guna Tenaga Tidak Penuh Berkaitan Kemahiran Suku Tahunan mengikut Jantina,Pasaran Buruh,Survei Tenaga Buruh,DOSM,QUARTERLY,NATIONAL,,2017,2024
lfs_month_youth,2024-01-29,Monthly Youth Unemployment,Labour Markets,Labour Force Survey,Pengangguran Belia Bulanan,Pasaran Buruh,Survei Tenaga Buruh,DOSM,MONTHLY,NATIONAL,,2016,2023
lfs_qtr_tru_sex,2024-01-29,Quarterly Time-Related Underemployment by Sex,Labour Markets,Labour Force Survey,Guna Tenaga Tidak Penuh Berkaitan Masa Suku Tahunan mengikut Jantina,Pasaran Buruh,Survei Tenaga Buruh,DOSM,QUARTERLY,NATIONAL,,2017,2024
lfs_month_status,2024-01-29,Monthly Employment by Status in Employment,Labour Markets,Labour Force Survey,Guna Tenaga Bulanan mengikut Taraf Pekerjaan,Pasaran Buruh,Survei Tenaga Buruh,DOSM,MONTHLY,NATIONAL,,2016,2023
lookup_money_banking,2024-02-12,Lookup Table: Money & Banking,Data Dictionaries,Internal,Jadual Carian: Wang & Perbankan,Kamus Data,Dalaman,BNM,INFREQUENT,NATIONAL,,2024,2024
lookup_federal_finance,2024-02-12,Lookup Table: Federal Finance,Data Dictionaries,Internal,Jadual Carian: Kewangan Persekutuan,Kamus Data,Dalaman,JANM,INFREQUENT,NATIONAL,,2024,2024
federal_finance_year,2024-02-13,Annual Federal Government Finance,Public Administration,Public Finance,Kewangan Tahunan Kerajaan Persekutuan,Pentadbiran Awam,Kewangan Awam,JANM,YEARLY,NATIONAL,,1970,2022
federal_finance_qtr,2024-02-13,Quarterly Federal Government Finance,Public Administration,Public Finance,Kewangan Suku Tahunan Kerajaan Persekutuan,Pentadbiran Awam,Kewangan Awam,JANM,QUARTERLY,NATIONAL,,1996,2023
federal_finance_year_revenue,2024-02-13,Annual Federal Government Revenue,Public Administration,Public Finance,Hasil Tahunan Kerajaan Persekutuan,Pentadbiran Awam,Kewangan Awam,JANM,YEARLY,NATIONAL,,1970,2022
federal_finance_qtr_revenue,2024-02-13,Quarterly Federal Government Revenue,Public Administration,Public Finance,Hasil Suku Tahunan Kerajaan Persekutuan,Pentadbiran Awam,Kewangan Awam,JANM,QUARTERLY,NATIONAL,,1996,2023
federal_finance_year_oe,2024-02-13,Annual Federal Government Operating Expenditure by Object,Public Administration,Public Finance,Perbelanjaan Mengurus Tahunan Kerajaan Persekutuan mengikut Objek,Pentadbiran Awam,Kewangan Awam,JANM,YEARLY,NATIONAL,,1979,2022
federal_finance_qtr_oe,2024-02-13,Quarterly Federal Government Operating Expenditure by Object,Public Administration,Public Finance,Perbelanjaan Mengurus Suku Tahunan Kerajaan Persekutuan mengikut Objek,Pentadbiran Awam,Kewangan Awam,JANM,QUARTERLY,NATIONAL,,1999,2023
federal_finance_qtr_de,2024-02-13,Quarterly Federal Government Development Expenditure by Function,Public Administration,Public Finance,Perbelanjaan Pembangunan Suku Tahunan Kerajaan Persekutuan mengikut Fungsi,Pentadbiran Awam,Kewangan Awam,JANM,QUARTERLY,NATIONAL,,1996,2023
federal_finance_year_de,2024-02-13,Annual Federal Government Development Expenditure by Function,Public Administration,Public Finance,Perbelanjaan Pembangunan Tahunan Kerajaan Persekutuan mengikut Fungsi,Pentadbiran Awam,Kewangan Awam,JANM,QUARTERLY,NATIONAL,,1970,2022
births_annual_state,2024-03-02,Annual Live Births by State,Demography,Births,Kelahiran Hidup Tahunan mengikut Negeri,Demografi,Kelahiran,"JPN, DOSM",YEARLY,STATE,,2000,2024
births_annual,2024-03-02,Annual Live Births,Demography,Births,Kelahiran Hidup Tahunan,Demografi,Kelahiran,"JPN, DOSM",YEARLY,NATIONAL,,2000,2024
births_annual_sex_ethnic,2024-03-02,Annual Live Births by Sex & Ethnicity,Demography,Births,Kelahiran Hidup Tahunan mengikut Jantina & Etnik,Demografi,Kelahiran,"JPN, DOSM",YEARLY,NATIONAL,"SEX, ETHNICITY",2000,2023
births_annual_sex_ethnic_state,2024-03-02,"Annual Live Births by State, Sex, & Ethnicity",Demography,Births,"Kelahiran Hidup Tahunan mengikut Negeri, Jantina & Etnik",Demografi,Kelahiran,"JPN, DOSM",YEARLY,"NATIONAL, STATE","SEX, ETHNICITY",2000,2023
births_district_sex,2024-03-02,Annual Live Births by District & Sex,Demography,Births,Kelahiran Hidup Tahunan mengikut Daerah & Jantina,Demografi,Kelahiran,"JPN, DOSM",YEARLY,"NATIONAL, STATE, DISTRICT",SEX,2020,2024
stillbirths,2024-03-02,Annual Stillbirths,Demography,Births,Kelahiran Mati Tahunan,Demografi,Kelahiran,"MOH, DOSM",YEARLY,NATIONAL,,2000,2024
stillbirths_state,2024-03-02,Annual Stillbirths by State,Demography,Births,Kelahiran Mati Tahunan mengikut Negeri,Demografi,Kelahiran,"MOH, DOSM",YEARLY,STATE,,2000,2024
deaths_state,2024-03-02,Annual Deaths by State,Demography,Deaths,Kematian Tahunan mengikut Negeri,Demografi,Kematian,"JPN, DOSM",YEARLY,STATE,,2000,2024
deaths_sex_ethnic_state,2024-03-02,"Annual Deaths by State, Sex, & Ethnicity",Demography,Deaths,"Kematian Tahunan mengikut Negeri, Jantina & Etnik",Demografi,Kematian,"JPN, DOSM",YEARLY,"NATIONAL, STATE","SEX, ETHNICITY",2000,2024
deaths_district_sex,2024-03-02,Annual Deaths by District & Sex,Demography,Deaths,Kematian Tahunan mengikut Daerah & Jantina,Demografi,Kematian,"JPN, DOSM",YEARLY,"NATIONAL, STATE, DISTRICT",SEX,2020,2024
deaths,2024-03-02,Annual Deaths,Demography,Deaths,Kematian Tahunan,Demografi,Kematian,"JPN, DOSM",YEARLY,NATIONAL,,2000,2024
deaths_sex_ethnic,2024-03-02,Annual Deaths by Sex & Ethnicity,Demography,Deaths,Kematian Tahunan mengikut Jantina & Etnik,Demografi,Kematian,"JPN, DOSM",YEARLY,NATIONAL,"SEX, ETHNICITY",2000,2024
deaths_maternal,2024-03-02,Annual Maternal Deaths,Demography,Deaths,Kematian Ibu Bersalin Tahunan,Demografi,Kematian,"JPN, DOSM",YEARLY,NATIONAL,,1933,2024
deaths_maternal_state,2024-03-02,Annual Maternal Deaths by State,Demography,Deaths,Kematian Ibu Bersalin Tahunan mengikut Negeri,Demografi,Kematian,"JPN, DOSM",YEARLY,STATE,,2000,2024
sitc,2024-03-09,SITC,Data Dictionaries,National,SITC,Kamus Data,Nasional,DOSM,INFREQUENT,NATIONAL,,2006,2006
sitc_sop,2024-03-09,SITC: Stage of Processing,Data Dictionaries,National,SITC: Tahap Pemprosesan,Kamus Data,Nasional,DOSM,INFREQUENT,NATIONAL,,2006,2006
arc_dosm,2024-03-16,DOSM's Advance Release Calendar,Metadata,Site Content,Kalendar Awalan Keluaran DOSM,Metadata,Kandungan Portal,DOSM,DAILY,,,2026,2026
monetary_aggregates,2024-03-17,"Monetary Aggregates: M1, M2, M3",Financial Markets,Money Supply,"Agregat Kewangan: M1, M2, M3",Pasaran Kewangan,Penawaran Wang,BNM,MONTHLY,NATIONAL,,2013,2026
hies_malaysia_percentile,2024-04-15,Household Income by Percentile,Households,Income,Pendapatan Isi Rumah mengikut Persentil,Isi Rumah,Pendapatan,DOSM,YEARLY,NATIONAL,,2019,2024
hies_state_percentile,2024-04-15,Household Income by State & Percentile,Households,Income,Pendapatan Isi Rumah mengikut Negeri & Persentil,Isi Rumah,Pendapatan,DOSM,YEARLY,STATE,,2019,2024
gdp_gni_annual_nominal,2024-04-28,Annual Nominal GDP & GNI: 1947 to Present,National Accounts,Gross Domestic Product,KDNK & PNK Sebenar Tahunan: 1947 sehingga Kini,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,1947,2025
gdp_gni_annual_real,2024-04-28,Annual Real GDP & GNI: 1970 to Present,National Accounts,Gross Domestic Product,KDNK & PNK Sebenar Tahunan: 1970 sehingga Kini,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,1970,2025
gdp_lookup,2024-05-19,Lookup Table: GDP,National Accounts,Gross Domestic Product,Jadual Carian: KDNK,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,INFREQUENT,NATIONAL,,2024,2024
gdp_annual_nominal_demand,2024-05-19,Annual Nominal GDP by Expenditure Type,National Accounts,Gross Domestic Product,KDNK Nominal Tahunan mengikut Jenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
gdp_annual_nominal_demand_granular,2024-05-19,Annual Nominal GDP by Expenditure Subtype,National Accounts,Gross Domestic Product,KDNK Nominal Tahunan mengikut Subjenis Perbelanjaan,Akaun Negara,Keluaran Dalam Negeri Kasar,DOSM,YEARLY,NATIONAL,,2015,2025
